latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-122.32291,59.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m (°F)
2021-03-29T00:00,38.5
2021-03-29T01:00,37.7
2021-03-29T02:00,37.1
2021-03-29T03:00,37.3
2021-03-29T04:00,36.7
2021-03-29T05:00,37.3
2021-03-29T06:00,36.0
2021-03-29T07:00,37.5
2021-03-29T08:00,39.7
2021-03-29T09:00,42.1
2021-03-29T10:00,43.9
2021-03-29T11:00,45.0
2021-03-29T12:00,46.5
2021-03-29T13:00,47.8
2021-03-29T14:00,48.0
2021-03-29T15:00,47.9
2021-03-29T16:00,47.5
2021-03-29T17:00,46.7
2021-03-29T18:00,45.1
2021-03-29T19:00,42.2
2021-03-29T20:00,40.2
2021-03-29T21:00,39.4
2021-03-29T22:00,40.9
2021-03-29T23:00,36.5
2021-03-30T00:00,34.9
2021-03-30T01:00,35.1
2021-03-30T02:00,35.7
2021-03-30T03:00,36.4
2021-03-30T04:00,36.7
2021-03-30T05:00,36.3
2021-03-30T06:00,35.1
2021-03-30T07:00,38.5
2021-03-30T08:00,40.5
2021-03-30T09:00,42.8
2021-03-30T10:00,45.0
2021-03-30T11:00,46.8
2021-03-30T12:00,48.4
2021-03-30T13:00,49.7
2021-03-30T14:00,50.8
2021-03-30T15:00,51.7
2021-03-30T16:00,51.0
2021-03-30T17:00,50.5
2021-03-30T18:00,48.0
2021-03-30T19:00,44.4
2021-03-30T20:00,40.5
2021-03-30T21:00,38.9
2021-03-30T22:00,37.6
2021-03-30T23:00,36.6
2021-03-31T00:00,36.2
2021-03-31T01:00,36.1
2021-03-31T02:00,35.5
2021-03-31T03:00,34.6
2021-03-31T04:00,35.5
2021-03-31T05:00,35.9
2021-03-31T06:00,35.8
2021-03-31T07:00,38.5
2021-03-31T08:00,42.0
2021-03-31T09:00,45.7
2021-03-31T10:00,49.0
2021-03-31T11:00,51.3
2021-03-31T12:00,53.1
2021-03-31T13:00,54.4
2021-03-31T14:00,55.5
2021-03-31T15:00,55.3
2021-03-31T16:00,55.4
2021-03-31T17:00,52.8
2021-03-31T18:00,49.6
2021-03-31T19:00,46.0
2021-03-31T20:00,43.7
2021-03-31T21:00,41.6
2021-03-31T22:00,45.4
2021-03-31T23:00,44.9
2021-04-01T00:00,38.7
2021-04-01T01:00,40.9
2021-04-01T02:00,41.5
2021-04-01T03:00,41.4
2021-04-01T04:00,41.3
2021-04-01T05:00,42.2
2021-04-01T06:00,40.0
2021-04-01T07:00,43.7
2021-04-01T08:00,45.0
2021-04-01T09:00,47.3
2021-04-01T10:00,48.8
2021-04-01T11:00,49.7
2021-04-01T12:00,51.7
2021-04-01T13:00,52.7
2021-04-01T14:00,53.3
2021-04-01T15:00,53.0
2021-04-01T16:00,53.7
2021-04-01T17:00,52.9
2021-04-01T18:00,50.2
2021-04-01T19:00,47.0
2021-04-01T20:00,43.4
2021-04-01T21:00,41.2
2021-04-01T22:00,40.8
2021-04-01T23:00,39.7
2021-04-02T00:00,40.5
2021-04-02T01:00,39.0
2021-04-02T02:00,39.1
2021-04-02T03:00,39.6
2021-04-02T04:00,42.3
2021-04-02T05:00,42.6
2021-04-02T06:00,42.8
2021-04-02T07:00,43.4
2021-04-02T08:00,44.7
2021-04-02T09:00,46.4
2021-04-02T10:00,48.0
2021-04-02T11:00,50.1
2021-04-02T12:00,51.6
2021-04-02T13:00,53.3
2021-04-02T14:00,53.8
2021-04-02T15:00,54.4
2021-04-02T16:00,55.8
2021-04-02T17:00,54.0
2021-04-02T18:00,48.9
2021-04-02T19:00,46.1
2021-04-02T20:00,44.3
2021-04-02T21:00,43.1
2021-04-02T22:00,42.1
2021-04-02T23:00,40.3
2021-04-03T00:00,40.3
2021-04-03T01:00,38.9
2021-04-03T02:00,38.8
2021-04-03T03:00,37.8
2021-04-03T04:00,38.4
2021-04-03T05:00,39.4
2021-04-03T06:00,39.9
2021-04-03T07:00,42.4
2021-04-03T08:00,43.6
2021-04-03T09:00,46.4
2021-04-03T10:00,49.5
2021-04-03T11:00,51.7
2021-04-03T12:00,54.9
2021-04-03T13:00,56.2
2021-04-03T14:00,57.6
2021-04-03T15:00,58.5
2021-04-03T16:00,58.1
2021-04-03T17:00,56.8
2021-04-03T18:00,53.7
2021-04-03T19:00,48.2
2021-04-03T20:00,47.0
2021-04-03T21:00,46.8
2021-04-03T22:00,45.9
2021-04-03T23:00,45.1
2021-04-04T00:00,45.0
2021-04-04T01:00,45.0
2021-04-04T02:00,44.6
2021-04-04T03:00,43.9
2021-04-04T04:00,43.7
2021-04-04T05:00,44.0
2021-04-04T06:00,43.8
2021-04-04T07:00,43.7
2021-04-04T08:00,43.3
2021-04-04T09:00,43.7
2021-04-04T10:00,44.5
2021-04-04T11:00,45.2
2021-04-04T12:00,45.6
2021-04-04T13:00,46.2
2021-04-04T14:00,46.4
2021-04-04T15:00,46.3
2021-04-04T16:00,46.6
2021-04-04T17:00,45.7
2021-04-04T18:00,44.9
2021-04-04T19:00,43.2
2021-04-04T20:00,42.2
2021-04-04T21:00,41.5
2021-04-04T22:00,38.7
2021-04-04T23:00,36.0
2021-04-05T00:00,37.2
2021-04-05T01:00,37.7
2021-04-05T02:00,35.2
2021-04-05T03:00,35.4
2021-04-05T04:00,41.4
2021-04-05T05:00,39.2
2021-04-05T06:00,37.1
2021-04-05T07:00,41.7
2021-04-05T08:00,42.9
2021-04-05T09:00,44.6
2021-04-05T10:00,45.4
2021-04-05T11:00,46.3
2021-04-05T12:00,47.8
2021-04-05T13:00,49.5
2021-04-05T14:00,51.3
2021-04-05T15:00,52.4
2021-04-05T16:00,52.4
2021-04-05T17:00,52.4
2021-04-05T18:00,50.1
2021-04-05T19:00,46.3
2021-04-05T20:00,41.6
2021-04-05T21:00,40.1
2021-04-05T22:00,43.6
2021-04-05T23:00,43.9
2021-04-06T00:00,39.6
2021-04-06T01:00,38.9
2021-04-06T02:00,38.5
2021-04-06T03:00,37.7
2021-04-06T04:00,37.0
2021-04-06T05:00,36.4
2021-04-06T06:00,36.2
2021-04-06T07:00,38.7
2021-04-06T08:00,40.3
2021-04-06T09:00,42.3
2021-04-06T10:00,45.1
2021-04-06T11:00,47.9
2021-04-06T12:00,50.5
2021-04-06T13:00,52.7
2021-04-06T14:00,54.0
2021-04-06T15:00,55.0
2021-04-06T16:00,56.3
2021-04-06T17:00,55.8
2021-04-06T18:00,52.4
2021-04-06T19:00,48.0
2021-04-06T20:00,45.6
2021-04-06T21:00,44.0
2021-04-06T22:00,42.8
2021-04-06T23:00,41.5
2021-04-07T00:00,39.8
2021-04-07T01:00,37.8
2021-04-07T02:00,40.6
2021-04-07T03:00,41.9
2021-04-07T04:00,41.1
2021-04-07T05:00,41.3
2021-04-07T06:00,42.1
2021-04-07T07:00,43.1
2021-04-07T08:00,44.1
2021-04-07T09:00,44.7
2021-04-07T10:00,46.1
2021-04-07T11:00,46.3
2021-04-07T12:00,46.9
2021-04-07T13:00,46.4
2021-04-07T14:00,46.0
2021-04-07T15:00,46.0
2021-04-07T16:00,47.7
2021-04-07T17:00,47.2
2021-04-07T18:00,45.9
2021-04-07T19:00,45.1
2021-04-07T20:00,45.0
2021-04-07T21:00,44.8
2021-04-07T22:00,43.6
2021-04-07T23:00,43.1
2021-04-08T00:00,42.4
2021-04-08T01:00,40.7
2021-04-08T02:00,39.7
2021-04-08T03:00,38.9
2021-04-08T04:00,39.7
2021-04-08T05:00,40.1
2021-04-08T06:00,40.0
2021-04-08T07:00,40.5
2021-04-08T08:00,42.0
2021-04-08T09:00,43.9
2021-04-08T10:00,45.6
2021-04-08T11:00,47.3
2021-04-08T12:00,48.5
2021-04-08T13:00,49.2
2021-04-08T14:00,50.2
2021-04-08T15:00,51.8
2021-04-08T16:00,53.2
2021-04-08T17:00,51.3
2021-04-08T18:00,48.9
2021-04-08T19:00,46.1
2021-04-08T20:00,46.7
2021-04-08T21:00,45.3
2021-04-08T22:00,41.4
2021-04-08T23:00,41.1
2021-04-09T00:00,39.7
2021-04-09T01:00,38.7
2021-04-09T02:00,37.8
2021-04-09T03:00,37.0
2021-04-09T04:00,36.8
2021-04-09T05:00,36.8
2021-04-09T06:00,37.3
2021-04-09T07:00,38.7
2021-04-09T08:00,40.9
2021-04-09T09:00,44.2
2021-04-09T10:00,46.6
2021-04-09T11:00,48.0
2021-04-09T12:00,48.0
2021-04-09T13:00,47.8
2021-04-09T14:00,47.5
2021-04-09T15:00,47.8
2021-04-09T16:00,47.6
2021-04-09T17:00,46.2
2021-04-09T18:00,45.4
2021-04-09T19:00,44.9
2021-04-09T20:00,44.9
2021-04-09T21:00,44.6
2021-04-09T22:00,43.7
2021-04-09T23:00,43.2
2021-04-10T00:00,43.7
2021-04-10T01:00,43.0
2021-04-10T02:00,41.5
2021-04-10T03:00,39.8
2021-04-10T04:00,39.2
2021-04-10T05:00,38.9
2021-04-10T06:00,38.4
2021-04-10T07:00,38.9
2021-04-10T08:00,40.1
2021-04-10T09:00,41.7
2021-04-10T10:00,43.3
2021-04-10T11:00,44.2
2021-04-10T12:00,44.9
2021-04-10T13:00,46.1
2021-04-10T14:00,47.7
2021-04-10T15:00,48.2
2021-04-10T16:00,47.5
2021-04-10T17:00,46.9
2021-04-10T18:00,45.2
2021-04-10T19:00,44.0
2021-04-10T20:00,42.9
2021-04-10T21:00,42.4
2021-04-10T22:00,41.5
2021-04-10T23:00,39.6
2021-04-11T00:00,37.3
2021-04-11T01:00,35.2
2021-04-11T02:00,36.7
2021-04-11T03:00,38.4
2021-04-11T04:00,37.5
2021-04-11T05:00,33.7
2021-04-11T06:00,37.2
2021-04-11T07:00,40.1
2021-04-11T08:00,42.7
2021-04-11T09:00,44.8
2021-04-11T10:00,46.3
2021-04-11T11:00,47.9
2021-04-11T12:00,48.6
2021-04-11T13:00,49.2
2021-04-11T14:00,49.5
2021-04-11T15:00,49.6
2021-04-11T16:00,49.4
2021-04-11T17:00,48.1
2021-04-11T18:00,46.3
2021-04-11T19:00,43.6
2021-04-11T20:00,42.1
2021-04-11T21:00,41.4
2021-04-11T22:00,40.7
2021-04-11T23:00,40.4
2021-04-12T00:00,39.8
2021-04-12T01:00,39.3
2021-04-12T02:00,38.6
